permit_outfall,permit,outfall,facility,long,lat,state,huc8,watershed_name,TMDL_zone
CT0100447_1,CT0100447,1,PLAINFIELD NORTH WPCF,-71.920328,41.720815,CT,01100001,Quinebaug River,1
CT0100455_1,CT0100455,1,PLAINVILLE WPCF,-72.864248,41.683875,CT,01080207,Farmington River,2
CT0100463_1,CT0100463,1,PLYMOUTH WPCF,-72.991752,41.66832,CT,01080207,Farmington River,2
CT0100480_1,CT0100480,1,ROCKY HILL WPCF,-72.63424,41.689152,CT,01080205,Outlet Connecticut River,2
CT0100498_1,CT0100498,1,SALISBURY WPCF,-73.431042,42.01443,CT,01100005,Housatonic,4
CT0100501_1,CT0100501,1,SEYMOUR WPCF,-73.087313,41.366379,CT,01100005,Housatonic,4
CT0100510_1,CT0100510,1,SOUTH WINDSOR WPCF,-72.635461,41.829512,CT,01080205,Outlet Connecticut River,2
CT0100528_1,CT0100528,1,SOUTHBURY TR. SCHOOL WPCF,-73.259234,41.493017,CT,01100005,Housatonic,NA
CT0100536_1,CT0100536,1,SOUTHINGTON WPCF,-72.883694,41.566931,CT,01100004,Quinnipiac,3
CT0100544_1,CT0100544,1,STONINGTON MYSTIC WPCF,-71.968666,41.333208,CT,02030203,Long Island Sound,1
CT0100552_1,CT0100552,1,SUFFIELD WPCF,-72.617016,41.956372,CT,01080205,Outlet Connecticut River,2
CT0100579_1,CT0100579,1,TORRINGTON WCPF,-73.117311,41.779986,CT,01100005,Housatonic,NA
CT0100609_1,CT0100609,1,VERNON WPCF,-72.48729,41.864705,CT,01080205,Outlet Connecticut River,2
CT0100617_1,CT0100617,1,WALLINGFORD WPCF,-72.839249,41.44721,CT,01100004,Quinnipiac,3
CT0100625_1,CT0100625,1,WATERBURY WCPF,-73.046477,41.51971,CT,01100005,Housatonic,NA
CT0100641_1,CT0100641,1,"NAUGATUCK TREATMENT Co.",-73.051477,41.471933,CT,01100005,Housatonic,4
CT0100684_1,CT0100684,1,WESTPORT WPCF,-73.368157,41.120272,CT,01100006,Saugatuck,5
CT0100706_1,CT0100706,1,THOMPSON WPCF,-71.896436,41.932758,CT,01100001,Quinebaug River,1
CT0100714_1,CT0100714,1,SHELTON WPCF,-73.082035,41.312658,CT,01100005,Housatonic,4
CT0100749_1,CT0100749,1,MILFORD BEAVER BROOK WPCF,-73.099537,41.188325,CT,01100005,Housatonic,NA
CT0100781_1,CT0100781,1,THOMASTON WPCF,-73.079811,41.643876,CT,01100005,Housatonic,4
CT0100803_1,CT0100803,1,LITCHFIELD WPCF,-73.223343,41.759293,CT,01100005,Housatonic,4
CT0100854_1,CT0100854,1,RIDGEFIELD SOUTH ST. WPCF,-73.490438,41.290159,CT,01100006,Saugatuck,6
CT0100919_1,CT0100919,1,SIMSBURY WPCF,-72.797494,41.869345,CT,01080207,Farmington River,2
CT0100935_1,CT0100935,1,MONTVILLE WPCF,-72.097281,41.438874,CT,01100003,Thames,1
CT0100960_1,CT0100960,1,PUTNAM WPCF,-71.90616,41.905813,CT,01100001,Quinebaug River,1
CT0100978_1,CT0100978,1,SPRAGUE WPCF,-72.0745,41.640483,CT,01100002,Shetucket River,1
CT0100994_1,CT0100994,1,WINDSOR POQUONOCK WPCF,-72.665629,41.892205,CT,01080207,Farmington River,2
CT0101001_1,CT0101001,1,WINDHAM WPCF,-72.19256,41.713316,CT,01100002,Shetucket River,NA
CT0101010_1,CT0101010,1,BRIDGEPORT EAST WPCF,-73.174539,41.171381,CT,02030203,Long Island Sound,NA
