permit,facility,Outfall,key,permit_outfall,state,kg_N_TN_per_month,month_year,EXTERNAL_PERMIT_NMBR.x,FACILITY_NAME,SIC_CODES,SIC_DESCRIPTIONS,PERM_FEATURE_NMBR.x,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,impute_lat,impute_lon,EXTERNAL_PERMIT_NMBR.y,PERM_FEATURE_NMBR.y,huc8,name,impute_name
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-06-30,NY0026786_1,NY,9646.25850340136,2005-06-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-06-30,NY0026131_1,NY,391836.734693878,2005-06-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-06-30,NY0026191_1,NY,289795.918367347,2005-06-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-06-30,NY0026204_1,NY,474829.931972789,2005-06-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-06-30,NY0026239_1,NY,117006.802721088,2005-06-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-06-30,NY0027073_1,NY,55782.3129251701,2005-06-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-07-31,NY0026999_3,NY,5750.11337868481,2005-07-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-07-31,NY0026131_1,NY,352879.818594104,2005-07-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-07-31,NY0026191_1,NY,283990.929705215,2005-07-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-07-31,NY0026204_1,NY,444263.038548753,2005-07-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
