"permit","facility","Outfall","quant_avg","conc_avg","days_per_month","key","param","permit_outfall","permit_outfall_designator","state","kg_N_TN_per_month","month_year","EXTERNAL_PERMIT_NMBR.x","FACILITY_NAME","SIC_CODES","SIC_DESCRIPTIONS","PERM_FEATURE_NMBR.x","STATE_WATER_BODY_NAME","LATITUDE83","LONGITUDE83","impute_lat","impute_lon","EXTERNAL_PERMIT_NMBR.y","PERM_FEATURE_NMBR.y","huc8","name","impute_name"
"CT0101761","EAST HADDAM WPCF","1",0.6,NA,31,"CT0101761_1_2000-01-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",8.43537414965986,"2000-01","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.1,NA,29,"CT0101761_1_2000-02-29","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",1.31519274376417,"2000-02","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.3,NA,31,"CT0101761_1_2000-03-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",4.21768707482993,"2000-03","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.9,NA,30,"CT0101761_1_2000-04-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",12.2448979591837,"2000-04","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",1.1,NA,31,"CT0101761_1_2000-05-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",15.4648526077098,"2000-05","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.5,NA,30,"CT0101761_1_2000-06-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",6.80272108843537,"2000-06","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.9,NA,31,"CT0101761_1_2000-07-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",12.6530612244898,"2000-07","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.4,NA,31,"CT0101761_1_2000-08-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",5.62358276643991,"2000-08","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.7,NA,30,"CT0101761_1_2000-09-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",9.52380952380952,"2000-09","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.4,NA,31,"CT0101761_1_2000-10-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",5.62358276643991,"2000-10","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
