permit,facility,key,permit_outfall,kg_N_TN_per_month,month_year,outfall,state,LATITUDE83,LONGITUDE83,huc8,name,season
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-04-30,NY0026239_1,96802.72,1999 Apr,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-05-31,NY0026131_1,339509.75,1999 May,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-05-31,NY0026191_1,232549.21,1999 May,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-05-31,NY0026239_1,100549.66,1999 May,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-06-30,NY0026131_1,323972.79,1999 Jun,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-06-30,NY0026191_1,224884.35,1999 Jun,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-06-30,NY0026239_1,97619.05,1999 Jun,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-07-31,NY0026131_1,341702.95,1999 Jul,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-07-31,NY0026191_1,235262.59,1999 Jul,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-07-31,NY0026239_1,102686.62,1999 Jul,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-08-31,NY0026131_1,335643.54,1999 Aug,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-08-31,NY0026191_1,235810.88,1999 Aug,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-08-31,NY0026239_1,102953.74,1999 Aug,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-09-30,NY0026131_1,326081.63,1999 Sep,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-09-30,NY0026191_1,230462.59,1999 Sep,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-09-30,NY0026239_1,101251.7,1999 Sep,1,NY,40.797583,-73.841056,02030102,Bronx,fall
